seller_id,purchase_date,item_gmv_brl,distinct_orders,month
01cf7e3d21494c41fb86034f2e714fa1,2017-01-01,770.90000,5,2017-01
01cf7e3d21494c41fb86034f2e714fa1,2017-02-01,152.10000,2,2017-02
01cf7e3d21494c41fb86034f2e714fa1,2017-03-01,1274.06000,14,2017-03
01cf7e3d21494c41fb86034f2e714fa1,2017-04-01,1813.56000,9,2017-04
01cf7e3d21494c41fb86034f2e714fa1,2017-05-01,1246.99000,3,2017-05
01cf7e3d21494c41fb86034f2e714fa1,2017-06-01,89.90000,1,2017-06
01cf7e3d21494c41fb86034f2e714fa1,2017-07-01,1164.80000,9,2017-07
01cf7e3d21494c41fb86034f2e714fa1,2017-08-01,1811.45000,10,2017-08
01cf7e3d21494c41fb86034f2e714fa1,2018-02-01,1045.90000,5,2018-02
01ed254b9ff8407dfb9d99ba1e17d923,2017-08-01,678.00000,2,2017-08
01ed254b9ff8407dfb9d99ba1e17d923,2017-09-01,339.00000,1,2017-09
01ed254b9ff8407dfb9d99ba1e17d923,2017-10-01,349.00000,1,2017-10
01ed254b9ff8407dfb9d99ba1e17d923,2017-11-01,99.99000,1,2017-11
01fd077212124329bac32490e8ef80d9,2018-04-01,198.00000,7,2018-04
01fd077212124329bac32490e8ef80d9,2018-05-01,205.00000,4,2018-05
01fd077212124329bac32490e8ef80d9,2018-06-01,69.00000,3,2018-06
01fd077212124329bac32490e8ef80d9,2018-07-01,266.00000,6,2018-07
01fd077212124329bac32490e8ef80d9,2018-08-01,470.00000,11,2018-08
01fdefa7697d26ad920e9e0346d4bd1b,2017-04-01,64.90000,1,2017-04
01fdefa7697d26ad920e9e0346d4bd1b,2017-05-01,346.78000,4,2017-05
01fdefa7697d26ad920e9e0346d4bd1b,2017-06-01,366.59000,5,2017-06
01fdefa7697d26ad920e9e0346d4bd1b,2017-07-01,1242.47000,9,2017-07
01fdefa7697d26ad920e9e0346d4bd1b,2017-08-01,1085.39000,8,2017-08
01fdefa7697d26ad920e9e0346d4bd1b,2017-09-01,797.50000,6,2017-09
01fdefa7697d26ad920e9e0346d4bd1b,2017-10-01,909.46000,8,2017-10
01fdefa7697d26ad920e9e0346d4bd1b,2017-11-01,1169.56000,9,2017-11
01fdefa7697d26ad920e9e0346d4bd1b,2017-12-01,1993.42000,15,2017-12
01fdefa7697d26ad920e9e0346d4bd1b,2018-01-01,1675.80000,12,2018-01
01fdefa7697d26ad920e9e0346d4bd1b,2018-02-01,778.30000,7,2018-02
01fdefa7697d26ad920e9e0346d4bd1b,2018-03-01,518.50000,5,2018-03
01fdefa7697d26ad920e9e0346d4bd1b,2018-04-01,389.69000,4,2018-04
01fdefa7697d26ad920e9e0346d4bd1b,2018-05-01,320.80000,3,2018-05
01fdefa7697d26ad920e9e0346d4bd1b,2018-06-01,719.20000,8,2018-06
01fdefa7697d26ad920e9e0346d4bd1b,2018-07-01,604.30000,7,2018-07
01fdefa7697d26ad920e9e0346d4bd1b,2018-08-01,1819.87000,17,2018-08
0241d4d5d36f10f80c644447315af0bd,2017-10-01,123.90000,2,2017-10
0241d4d5d36f10f80c644447315af0bd,2017-11-01,652.80000,12,2017-11
0241d4d5d36f10f80c644447315af0bd,2017-12-01,797.90000,11,2017-12
0241d4d5d36f10f80c644447315af0bd,2018-01-01,3199.30000,25,2018-01
0241d4d5d36f10f80c644447315af0bd,2018-02-01,3500.30000,25,2018-02
0241d4d5d36f10f80c644447315af0bd,2018-03-01,2591.20000,21,2018-03
0241d4d5d36f10f80c644447315af0bd,2018-04-01,2851.50000,20,2018-04
0241d4d5d36f10f80c644447315af0bd,2018-05-01,4207.10000,31,2018-05
0241d4d5d36f10f80c644447315af0bd,2018-06-01,5209.70000,29,2018-06
0241d4d5d36f10f80c644447315af0bd,2018-07-01,5065.20000,36,2018-07
0241d4d5d36f10f80c644447315af0bd,2018-08-01,3198.80000,26,2018-08
0249d282d911d23cb8b869ab49c99f53,2017-09-01,43.00000,2,2017-09
0249d282d911d23cb8b869ab49c99f53,2017-10-01,129.50000,4,2017-10
0249d282d911d23cb8b869ab49c99f53,2017-11-01,198.50000,4,2017-11
0249d282d911d23cb8b869ab49c99f53,2018-03-01,22.00000,1,2018-03
024b564ae893ce8e9bfa02c10a401ece,2016-10-01,467.40000,1,2016-10
024b564ae893ce8e9bfa02c10a401ece,2017-02-01,239.00000,1,2017-02
028872bfa080090a9d0abd4f1af168f8,2017-08-01,70.50000,1,2017-08
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-07-01,129.15000,1,2018-07
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-08-01,393.50000,3,2018-08
02c988090b766852e088c69d7fb3b551,2017-07-01,175.39000,1,2017-07
02c988090b766852e088c69d7fb3b551,2017-08-01,169.99000,1,2017-08
02c988090b766852e088c69d7fb3b551,2017-09-01,47.50000,1,2017-09
02c988090b766852e088c69d7fb3b551,2017-10-01,119.40000,1,2017-10
02c988090b766852e088c69d7fb3b551,2017-11-01,37.79000,1,2017-11
02c988090b766852e088c69d7fb3b551,2018-01-01,89.90000,1,2018-01
02c988090b766852e088c69d7fb3b551,2018-02-01,34.90000,1,2018-02
02c988090b766852e088c69d7fb3b551,2018-04-01,180.90000,1,2018-04
02c988090b766852e088c69d7fb3b551,2018-05-01,175.90000,1,2018-05
02c988090b766852e088c69d7fb3b551,2018-06-01,180.90000,1,2018-06
02c988090b766852e088c69d7fb3b551,2018-07-01,180.90000,1,2018-07
02c988090b766852e088c69d7fb3b551,2018-08-01,170.90000,1,2018-08
02d35243ea2e497335cd0f076b45675d,2017-04-01,498.00000,1,2017-04
02d35243ea2e497335cd0f076b45675d,2017-06-01,249.00000,1,2017-06
02d35243ea2e497335cd0f076b45675d,2017-08-01,1245.00000,5,2017-08
02d35243ea2e497335cd0f076b45675d,2017-09-01,249.00000,1,2017-09
02d35243ea2e497335cd0f076b45675d,2017-11-01,1106.00000,3,2017-11
02d35243ea2e497335cd0f076b45675d,2017-12-01,1899.00000,1,2017-12
02d35243ea2e497335cd0f076b45675d,2018-03-01,289.00000,1,2018-03
02d35243ea2e497335cd0f076b45675d,2018-08-01,259.00000,1,2018-08
02dcd3e8e25bee036e32512bcf175493,2018-02-01,225.00000,2,2018-02
02dcd3e8e25bee036e32512bcf175493,2018-03-01,423.00000,5,2018-03
02dcd3e8e25bee036e32512bcf175493,2018-04-01,174.00000,2,2018-04
02dcd3e8e25bee036e32512bcf175493,2018-07-01,190.00000,1,2018-07
02dcd3e8e25bee036e32512bcf175493,2018-08-01,329.90000,3,2018-08
02ecc2a19303f05e59ce133fd923fff7,2017-06-01,149.90000,1,2017-06
02ecc2a19303f05e59ce133fd923fff7,2017-09-01,449.70000,2,2017-09
02ecc2a19303f05e59ce133fd923fff7,2017-11-01,846.10000,4,2017-11
02ecc2a19303f05e59ce133fd923fff7,2017-12-01,914.60000,2,2017-12
02ecc2a19303f05e59ce133fd923fff7,2018-01-01,447.00000,2,2018-01
02ecc2a19303f05e59ce133fd923fff7,2018-02-01,299.30000,1,2018-02
02ecc2a19303f05e59ce133fd923fff7,2018-03-01,1116.70000,3,2018-03
02ecc2a19303f05e59ce133fd923fff7,2018-04-01,219.22000,1,2018-04
02ecc2a19303f05e59ce133fd923fff7,2018-05-01,419.10000,2,2018-05
02ecc2a19303f05e59ce133fd923fff7,2018-07-01,282.80000,2,2018-07
02ecc2a19303f05e59ce133fd923fff7,2018-08-01,119.77000,1,2018-08
02f5837340d7eb4f653d676c7256523a,2017-11-01,707.30000,5,2017-11
02f5837340d7eb4f653d676c7256523a,2017-12-01,909.93000,7,2017-12
02f5837340d7eb4f653d676c7256523a,2018-01-01,1559.88000,12,2018-01
02f5837340d7eb4f653d676c7256523a,2018-03-01,125.99000,1,2018-03
02f5837340d7eb4f653d676c7256523a,2018-04-01,115.99000,1,2018-04
02f5837340d7eb4f653d676c7256523a,2018-06-01,231.98000,2,2018-06
02f5837340d7eb4f653d676c7256523a,2018-07-01,115.99000,1,2018-07
02f5837340d7eb4f653d676c7256523a,2018-08-01,115.99000,1,2018-08
02f623a8eb246f3c5f7c2f96462654e6,2018-04-01,288.00000,2,2018-04
02f623a8eb246f3c5f7c2f96462654e6,2018-05-01,557.00000,4,2018-05
02f623a8eb246f3c5f7c2f96462654e6,2018-06-01,1174.00000,9,2018-06
02f623a8eb246f3c5f7c2f96462654e6,2018-07-01,2179.00000,15,2018-07
02f623a8eb246f3c5f7c2f96462654e6,2018-08-01,2180.00000,14,2018-08
0307f7565ff85b299b6e5ef162b1b1a9,2016-10-01,16.90000,1,2016-10
0307f7565ff85b299b6e5ef162b1b1a9,2017-02-01,2218.00000,2,2017-02
0307f7565ff85b299b6e5ef162b1b1a9,2017-03-01,1878.00000,2,2017-03
0307f7565ff85b299b6e5ef162b1b1a9,2017-05-01,599.00000,1,2017-05
0336182e1b3e92f029d5354832045fdf,2016-10-01,29.80000,1,2016-10
034b9387752bfa309f350a70cd45ffa3,2018-04-01,48.00000,4,2018-04
034b9387752bfa309f350a70cd45ffa3,2018-06-01,12.00000,1,2018-06
034b9387752bfa309f350a70cd45ffa3,2018-07-01,24.00000,2,2018-07
034b9387752bfa309f350a70cd45ffa3,2018-08-01,12.00000,1,2018-08
038b75b729c8a9a04b0d07cba7eabe86,2018-04-01,467.00000,2,2018-04
039b29ff3b3473435d0cd59040575de9,2018-04-01,17.80000,2,2018-04
039b29ff3b3473435d0cd59040575de9,2018-05-01,16.10000,1,2018-05
039b29ff3b3473435d0cd59040575de9,2018-06-01,8.90000,1,2018-06
039b29ff3b3473435d0cd59040575de9,2018-07-01,16.90000,1,2018-07
039b29ff3b3473435d0cd59040575de9,2018-08-01,55.20000,4,2018-08
039e6ad9dae79614493083e241147386,2018-04-01,4775.00000,2,2018-04
039e6ad9dae79614493083e241147386,2018-05-01,6480.00000,2,2018-05
039e6ad9dae79614493083e241147386,2018-07-01,1670.00000,1,2018-07
03a2a6dcbe45d639c4dc2a0d24769c40,2018-03-01,425.87000,3,2018-03
03a2a6dcbe45d639c4dc2a0d24769c40,2018-04-01,149.90000,1,2018-04
03a2a6dcbe45d639c4dc2a0d24769c40,2018-06-01,202.70000,3,2018-06
03a2a6dcbe45d639c4dc2a0d24769c40,2018-08-01,299.94000,2,2018-08
03bd479e1d9484cdb14104d3023f7321,2018-05-01,119.90000,1,2018-05
03bd479e1d9484cdb14104d3023f7321,2018-07-01,239.80000,2,2018-07
0417b067eeab773d2f7061a726dc477f,2018-03-01,322.27000,4,2018-03
0417b067eeab773d2f7061a726dc477f,2018-04-01,109.99000,1,2018-04
0417b067eeab773d2f7061a726dc477f,2018-05-01,406.96000,4,2018-05
0417b067eeab773d2f7061a726dc477f,2018-07-01,67.99000,1,2018-07
0417b067eeab773d2f7061a726dc477f,2018-08-01,951.97000,3,2018-08
042573af89b6d931f672efaf789d8358,2018-01-01,238.49000,2,2018-01
042573af89b6d931f672efaf789d8358,2018-02-01,174.99000,1,2018-02
04308b1ee57b6625f47df1d56f00eedf,2017-11-01,3999.70000,3,2017-11
04308b1ee57b6625f47df1d56f00eedf,2017-12-01,4305.60000,4,2017-12
04308b1ee57b6625f47df1d56f00eedf,2018-01-01,619.90000,1,2018-01
04308b1ee57b6625f47df1d56f00eedf,2018-02-01,6287.00000,10,2018-02
04308b1ee57b6625f47df1d56f00eedf,2018-03-01,14180.50000,25,2018-03
04308b1ee57b6625f47df1d56f00eedf,2018-04-01,4339.50000,5,2018-04
04308b1ee57b6625f47df1d56f00eedf,2018-06-01,499.90000,1,2018-06
04308b1ee57b6625f47df1d56f00eedf,2018-07-01,16259.30000,27,2018-07
04308b1ee57b6625f47df1d56f00eedf,2018-08-01,8500.40000,16,2018-08
0432ead42b6c8a0bdf68154add917fdf,2017-04-01,935.00000,7,2017-04
0432ead42b6c8a0bdf68154add917fdf,2017-05-01,1569.30000,16,2017-05
0432ead42b6c8a0bdf68154add917fdf,2017-06-01,729.20000,7,2017-06
0432ead42b6c8a0bdf68154add917fdf,2017-07-01,389.40000,6,2017-07
0432ead42b6c8a0bdf68154add917fdf,2017-08-01,489.40000,6,2017-08
0432ead42b6c8a0bdf68154add917fdf,2017-09-01,721.20000,8,2017-09
0432ead42b6c8a0bdf68154add917fdf,2017-10-01,552.30000,7,2017-10
0432ead42b6c8a0bdf68154add917fdf,2017-11-01,755.30000,7,2017-11
